SetNumber,ArraySize,TimeNs,Iterations
0,476,3365100,2213
1,704,2071200,3490
2,501,1015700,2318
3,336,703700,1487
4,326,779100,1422
5,114,267200,394
6,437,913700,2019
7,793,6164200,4005
8,493,1143600,2339
9,266,605400,1161
10,320,1716600,1416
11,467,909200,2215
12,447,1133600,2074
13,351,690300,1552
14,256,447500,1080
15,329,7085800,1469
16,669,8818800,3318
17,837,3964900,4350
18,389,687800,1729
19,259,455400,1108
20,534,1015800,2535
21,340,810600,1516
22,369,821300,1650
23,797,1784500,4038
24,295,1081800,1298
25,382,2405100,1776
26,545,2424200,2556
27,217,91200,904
28,658,256900,3205
29,514,188800,2398
30,644,237800,3161
31,698,264700,3476
32,668,244800,3326
33,527,194100,2528
34,596,210900,2858
35,665,289900,3259
36,395,300500,1750
37,677,310600,3354
38,176,115300,713
39,812,269000,4077
40,677,251500,3357
41,402,143200,1805
42,969,321200,4952
43,533,195300,2520
44,735,255000,3631
45,450,206400,2064
46,549,188700,2604
47,226,117900,928
48,470,794000,2234
49,959,353000,5053
